investment_id,policy_id,investment_type,risk_level,investment_date,amount,fund_manager,initial_nav,units_purchased
INV-887202,POL-092392,Equity Fund,High,2024-11-29,2327688,UD Widiastuti (Persero) Tbk,1033.35,2192.4785
INV-652282,POL-470475,Fixed Income Fund,Low-Medium,2025-03-19,10443276,CV Sitorus Tbk,1170.66,7603.1679
INV-064870,POL-178248,Sharia Fund,Medium,2025-03-21,5000075,CV Utama Yolanda (Persero) Tbk,1462.23,3735.3259
INV-488655,POL-985022,Balanced Fund,Medium,2025-05-02,4758654,Perum Prasetyo,1399.7,4316.5202
INV-104194,POL-880678,Money Market Fund,Low,2025-03-21,5272709,UD Yolanda,1311.06,4014.7958
INV-212735,POL-131877,Fixed Income Fund,Low-Medium,2025-06-28,2020498,UD Zulaika Purwanti (Persero) Tbk,1257.28,2003.459
INV-193098,POL-056707,Sharia Fund,Medium,2024-08-30,5535100,UD Pertiwi Tbk,1190.79,3753.2052
INV-879466,POL-332457,Fixed Income Fund,Low-Medium,2023-05-29,5332725,CV Winarsih (Persero) Tbk,1160.57,3916.1699
INV-348300,POL-985078,Balanced Fund,Medium,2024-07-10,6117296,Perum Rajata Nuraini (Persero) Tbk,1267.77,4217.3481
INV-489050,POL-726050,Balanced Fund,Medium,2025-02-25,6452653,PT Palastri Maheswara,1191.28,6117.7669
INV-466167,POL-872048,Balanced Fund,Medium,2025-06-28,1787305,CV Irawan,1210.14,1214.2738
INV-625527,POL-279302,Equity Fund,High,2024-08-22,3040892,PD Saragih Anggriawan,1462.53,2096.3544
INV-371756,POL-967233,Fixed Income Fund,Low-Medium,2023-05-16,4060633,CV Prayoga Halim,1308.8,2791.33
INV-521266,POL-135439,Balanced Fund,Medium,2024-07-06,2027264,UD Wahyuni,1124.86,1530.1403
INV-572531,POL-718354,Sharia Fund,Medium,2023-12-23,3724416,PT Andriani Zulaika,1290.64,3470.4718
INV-985418,POL-144335,Fixed Income Fund,Low-Medium,2024-10-26,8327880,PT Nashiruddin,1458.97,7082.4573
INV-686098,POL-508323,Fixed Income Fund,Low-Medium,2024-01-26,3461109,PD Sihotang Pudjiastuti Tbk,1058.95,2589.8798
INV-252215,POL-956522,Balanced Fund,Medium,2025-07-06,6381663,PT Hakim (Persero) Tbk,1434.94,6039.3497
INV-560951,POL-332040,Equity Fund,High,2024-11-05,1050854,Perum Mayasari Maryati,1444.45,818.1234
INV-763941,POL-343210,Fixed Income Fund,Low-Medium,2025-01-16,2095438,PT Salahudin Gunarto,1313.11,1697.262
INV-498089,POL-230648,Fixed Income Fund,Low-Medium,2024-06-01,7894842,Perum Lailasari Mustofa,1224.92,7518.6351
INV-197362,POL-915156,Balanced Fund,Medium,2024-04-21,4471451,Perum Nurdiyanti Suryatmi (Persero) Tbk,1336.58,2995.7205
INV-254206,POL-809513,Balanced Fund,Medium,2023-06-16,3424547,UD Fujiati Mustofa Tbk,1043.79,2498.1284
INV-212269,POL-109265,Balanced Fund,Medium,2024-11-07,8561636,PD Suryono Tbk,1333.45,6129.1174
INV-661795,POL-866414,Equity Fund,High,2024-07-02,1320150,UD Hardiansyah Lailasari,1219.64,1297.0144
INV-579988,POL-280207,Sharia Fund,Medium,2024-11-10,2669558,PT Adriansyah Tbk,1463.93,2189.3744
INV-530128,POL-360898,Sharia Fund,Medium,2024-06-13,10185621,PT Mangunsong Sihombing Tbk,1364.8,6937.6171
INV-684394,POL-854626,Equity Fund,High,2025-02-11,4715791,UD Mangunsong Winarno Tbk,1094.25,3569.4745
INV-745268,POL-845061,Sharia Fund,Medium,2024-12-22,4833061,Perum Haryanti Kurniawan Tbk,1488.77,3940.5534
INV-451575,POL-334620,Fixed Income Fund,Low-Medium,2024-10-17,2585938,PD Padmasari,1370.69,2303.1755
INV-080706,POL-821441,Fixed Income Fund,Low-Medium,2025-04-03,5005682,PT Mustofa Januar,1173.57,3632.7556
INV-944122,POL-641260,Fixed Income Fund,Low-Medium,2025-06-08,3258621,Perum Wibowo Hardiansyah,1144.19,2950.0071
INV-294302,POL-783441,Money Market Fund,Low,2024-04-09,1306023,PD Iswahyudi (Persero) Tbk,1006.05,977.3149
INV-916321,POL-426087,Sharia Fund,Medium,2023-08-31,4950581,PD Kurniawan,1213.75,3502.9996
INV-768275,POL-339418,Balanced Fund,Medium,2025-02-03,2086407,PD Latupono Winarno,1391.44,1663.1024
INV-673623,POL-348055,Fixed Income Fund,Low-Medium,2024-03-07,1231035,CV Wulandari,1320.88,848.6466
INV-581539,POL-906748,Sharia Fund,Medium,2025-02-12,565977,Perum Nasyiah Tbk,1385.45,446.527
INV-519929,POL-690307,Sharia Fund,Medium,2023-09-19,4970394,UD Waskita (Persero) Tbk,1005.42,4077.1279
INV-466635,POL-583507,Money Market Fund,Low,2024-03-22,8933286,CV Winarsih Mangunsong (Persero) Tbk,1430.98,8094.6853
INV-167972,POL-226267,Sharia Fund,Medium,2024-06-28,3923593,PT Hasanah Hariyah,1484.1,2945.9059
INV-471805,POL-586811,Balanced Fund,Medium,2025-05-20,1095950,PD Samosir Pradana,1386.26,923.4926
INV-471444,POL-169073,Money Market Fund,Low,2024-10-10,2974900,UD Zulaika,1281.69,2799.7546
INV-225480,POL-240883,Balanced Fund,Medium,2025-06-26,2367283,CV Hariyah Tbk,1096.49,2317.2538
INV-187354,POL-141630,Sharia Fund,Medium,2024-01-02,3145618,UD Nasyidah,1055.51,2587.9881
INV-763714,POL-688929,Balanced Fund,Medium,2025-03-19,5056768,CV Setiawan Tbk,1187.37,4985.947
INV-436292,POL-860823,Equity Fund,High,2025-06-30,3985439,CV Pratiwi Anggriawan (Persero) Tbk,1403.28,3105.4461
INV-820412,POL-434960,Balanced Fund,Medium,2024-07-04,9029717,CV Januar Maheswara,1274.07,8942.5546
INV-476723,POL-221204,Balanced Fund,Medium,2024-01-24,2437329,UD Manullang Tampubolon,1085.88,2030.5641
INV-246087,POL-128555,Balanced Fund,Medium,2025-07-03,2839094,Perum Namaga Suwarno Tbk,1369.57,2250.9331
INV-196281,POL-561233,Equity Fund,High,2024-04-08,8685291,PD Hardiansyah Purnawati (Persero) Tbk,1233.83,7068.0423
INV-440923,POL-228564,Equity Fund,High,2025-06-10,2124540,Perum Nashiruddin,1081.06,1576.3918
INV-727673,POL-971947,Balanced Fund,Medium,2025-05-01,2594774,UD Purnawati Anggriawan,1036.81,1761.2144
INV-552808,POL-019984,Sharia Fund,Medium,2024-03-20,6798433,PT Hasanah,1351.09,4687.9634
INV-077175,POL-627639,Money Market Fund,Low,2025-06-25,937984,PT Wijaya Prasasta,1239.18,627.4018
INV-975108,POL-998878,Fixed Income Fund,Low-Medium,2025-02-27,3181473,UD Kuswoyo Halim (Persero) Tbk,1042.43,3072.7918
INV-524687,POL-211179,Money Market Fund,Low,2024-12-13,8135633,UD Pangestu Pratiwi Tbk,1350.08,7136.5998
INV-058306,POL-229169,Balanced Fund,Medium,2025-06-26,2704786,Perum Wastuti Ramadan Tbk,1432.46,2408.4742
INV-780106,POL-782744,Money Market Fund,Low,2023-10-22,2031788,Perum Mandasari,1345.02,1360.0703
INV-400110,POL-183472,Fixed Income Fund,Low-Medium,2025-07-08,8947074,UD Hutagalung Hassanah,1149.16,7327.9205
INV-914901,POL-117803,Fixed Income Fund,Low-Medium,2024-07-29,2850200,UD Pranowo Hardiansyah (Persero) Tbk,1493.78,2418.0046
INV-077406,POL-545270,Equity Fund,High,2024-07-29,2247495,Perum Usada Wulandari Tbk,1282.77,1695.8505
INV-040702,POL-506064,Sharia Fund,Medium,2025-03-15,3347873,Perum Kurniawan Prabowo,1241.53,2815.2179
INV-372665,POL-644803,Fixed Income Fund,Low-Medium,2024-06-04,3586057,PD Pradana Tbk,1084.45,2877.2297
INV-047820,POL-967822,Fixed Income Fund,Low-Medium,2024-11-25,1030317,CV Mahendra Prakasa (Persero) Tbk,1157.27,720.2662
INV-196893,POL-404614,Fixed Income Fund,Low-Medium,2023-02-08,5297934,CV Hutapea,1314.89,3583.8034
INV-024841,POL-991468,Fixed Income Fund,Low-Medium,2024-10-12,2626913,PD Laksita Jailani Tbk,1388.57,2002.0899
INV-209087,POL-941859,Balanced Fund,Medium,2024-07-19,4390352,Perum Salahudin,1189.97,3671.0817
INV-799639,POL-743680,Fixed Income Fund,Low-Medium,2025-03-09,4846709,PD Fujiati Padmasari,1054.79,4522.6379
INV-147029,POL-238846,Fixed Income Fund,Low-Medium,2024-09-22,1401843,PT Nuraini Lailasari,1005.43,1174.4388
INV-887292,POL-154618,Money Market Fund,Low,2024-12-02,5003463,PD Setiawan,1365.9,3705.8919
INV-342853,POL-004953,Equity Fund,High,2025-04-20,1962127,PD Siregar,1255.24,1614.5044
INV-943910,POL-143809,Equity Fund,High,2025-06-18,1010058,Perum Waskita Hariyah,1063.0,915.4232
INV-957928,POL-671445,Fixed Income Fund,Low-Medium,2025-07-01,1916210,UD Napitupulu Pranowo Tbk,1147.95,1488.1681
INV-996902,POL-702154,Fixed Income Fund,Low-Medium,2024-12-05,3824579,UD Salahudin,1258.46,2662.1997
INV-687985,POL-982168,Sharia Fund,Medium,2023-12-04,3076014,PT Iswahyudi (Persero) Tbk,1436.75,2593.6698
INV-807990,POL-634069,Fixed Income Fund,Low-Medium,2025-03-28,2764786,UD Napitupulu,1129.52,1924.1505
INV-754392,POL-579089,Balanced Fund,Medium,2024-07-11,6944923,CV Saefullah Rajata,1153.03,5078.0657
INV-216857,POL-241166,Balanced Fund,Medium,2024-11-03,2023169,PD Januar,1417.77,2000.9424
INV-684402,POL-868645,Equity Fund,High,2025-06-14,3863986,CV Mandasari,1210.7,3139.8558
INV-708759,POL-793363,Balanced Fund,Medium,2024-08-28,861434,PD Hidayat,1258.32,723.9229
INV-030604,POL-811348,Money Market Fund,Low,2025-06-13,1817980,CV Maulana Sitorus,1350.19,1728.3542
INV-219236,POL-821076,Sharia Fund,Medium,2023-02-08,943805,Perum Mahendra (Persero) Tbk,1265.44,750.803
INV-901402,POL-191380,Equity Fund,High,2024-05-12,11439466,PT Marbun Hidayat,1282.3,7946.2523
INV-793022,POL-214334,Equity Fund,High,2025-02-07,3341838,PT Megantara Tbk,1085.62,2308.427
INV-239113,POL-102311,Fixed Income Fund,Low-Medium,2025-06-12,111779,CV Sitompul Wahyudin Tbk,1121.14,82.1029
INV-308219,POL-318254,Balanced Fund,Medium,2025-02-16,6749674,CV Sinaga,1319.35,6617.2603
INV-408160,POL-720889,Equity Fund,High,2024-02-27,8759565,PD Nurdiyanti Kusmawati,1095.68,7919.0193
INV-670390,POL-611923,Balanced Fund,Medium,2025-07-05,5701115,PT Widodo Uyainah,1240.25,4398.5603
INV-870579,POL-304854,Balanced Fund,Medium,2024-08-12,4958366,PD Wasita,1042.33,4933.4935
INV-786040,POL-290849,Sharia Fund,Medium,2024-08-22,1426311,UD Pertiwi Tbk,1223.89,1169.2418
INV-705010,POL-385196,Money Market Fund,Low,2023-12-20,8367206,Perum Pradana Iswahyudi (Persero) Tbk,1311.05,5760.7804
INV-670098,POL-714448,Equity Fund,High,2024-09-15,824324,PT Napitupulu Tamba,1456.93,714.033
INV-691345,POL-166374,Fixed Income Fund,Low-Medium,2025-04-22,1519642,PT Suryono Yulianti,1004.3,1462.714
INV-094864,POL-535056,Sharia Fund,Medium,2024-06-11,3073763,Perum Wijaya Halim,1138.57,3031.0442
INV-065622,POL-507047,Sharia Fund,Medium,2025-04-22,2294418,UD Prasasta Tbk,1454.88,2258.5807
INV-666959,POL-341341,Sharia Fund,Medium,2024-05-15,997659,PT Hariyah Mangunsong,1451.08,843.6315
INV-154554,POL-585740,Sharia Fund,Medium,2024-10-09,1771882,Perum Januar Zulkarnain,1123.74,1351.7123
INV-196942,POL-029343,Sharia Fund,Medium,2025-02-08,4072341,Perum Manullang Laksita,1493.06,3712.7671
INV-410380,POL-340407,Equity Fund,High,2024-05-04,5075850,PT Nurdiyanti Suryatmi (Persero) Tbk,1130.54,4285.3606
INV-307640,POL-633352,Money Market Fund,Low,2024-12-06,6724105,Perum Mangunsong,1236.63,6432.325
INV-104096,POL-354881,Balanced Fund,Medium,2024-12-24,1022446,CV Pratama,1328.84,858.8872
INV-248911,POL-291366,Sharia Fund,Medium,2024-11-06,4955751,UD Maulana Lailasari Tbk,1162.35,4764.2705
INV-609060,POL-911966,Equity Fund,High,2024-11-29,3402157,PD Suartini Tbk,1234.48,2928.1274
INV-444403,POL-307582,Sharia Fund,Medium,2025-04-21,1537501,PT Kuswandari Lestari Tbk,1188.41,1523.1933
INV-663440,POL-488028,Fixed Income Fund,Low-Medium,2025-05-01,963164,Perum Budiman,1430.9,877.6042
INV-843805,POL-438063,Equity Fund,High,2025-03-01,5346688,CV Wulandari Zulkarnain,1463.89,4322.7585
INV-248836,POL-841439,Balanced Fund,Medium,2024-02-11,2565270,UD Lazuardi,1475.58,2536.8839
INV-629549,POL-985604,Balanced Fund,Medium,2024-09-02,4179088,CV Anggriawan Hidayat (Persero) Tbk,1312.39,3063.7396
INV-195416,POL-483429,Sharia Fund,Medium,2025-01-08,485949,CV Budiman,1021.11,345.5578
INV-789748,POL-672103,Fixed Income Fund,Low-Medium,2023-08-01,2916265,CV Widiastuti Prasetyo (Persero) Tbk,1104.61,2762.5576
INV-495538,POL-205476,Equity Fund,High,2025-03-23,4447380,PT Nuraini Prayoga,1331.02,3107.0003
INV-988406,POL-312016,Sharia Fund,Medium,2024-03-30,2506317,UD Sudiati Tbk,1109.04,2375.3537
INV-979496,POL-523874,Balanced Fund,Medium,2023-06-04,4937149,PD Napitupulu Tbk,1247.13,3371.8875
INV-320177,POL-999015,Sharia Fund,Medium,2024-12-11,4796759,PT Pranowo Pratama,1428.26,3310.7409
INV-820805,POL-979152,Balanced Fund,Medium,2023-06-13,2097968,Perum Sirait Tbk,1017.25,1484.2023
INV-059942,POL-744306,Equity Fund,High,2025-05-30,5747505,PD Narpati (Persero) Tbk,1100.2,4667.8924
INV-937966,POL-532076,Money Market Fund,Low,2024-05-30,8256642,PT Maryati,1484.49,6635.0923
INV-406981,POL-466851,Sharia Fund,Medium,2023-05-06,3749044,UD Kuswoyo Wacana,1368.65,3630.9613
INV-455890,POL-438932,Equity Fund,High,2022-11-01,1490468,UD Kusmawati Wacana Tbk,1497.18,1337.6552
INV-389961,POL-462830,Balanced Fund,Medium,2023-04-18,2184679,Perum Saefullah,1304.04,1479.7587
INV-772460,POL-378704,Equity Fund,High,2024-12-09,751282,UD Suartini Pratiwi (Persero) Tbk,1392.56,704.2145
INV-763932,POL-453884,Sharia Fund,Medium,2024-07-23,4355558,Perum Hardiansyah (Persero) Tbk,1248.64,3265.5177
INV-651070,POL-341007,Fixed Income Fund,Low-Medium,2024-11-21,3101754,PT Anggraini Lazuardi Tbk,1209.0,2582.7344
INV-599093,POL-024423,Fixed Income Fund,Low-Medium,2024-10-21,960314,PD Nasyiah (Persero) Tbk,1200.78,828.1571
INV-514891,POL-146229,Fixed Income Fund,Low-Medium,2024-03-03,5323533,Perum Permata Tbk,1497.96,5246.492
INV-273537,POL-708652,Balanced Fund,Medium,2024-09-16,2736905,UD Wibowo Tbk,1064.51,1998.1944
INV-826475,POL-452339,Equity Fund,High,2025-05-28,2461822,CV Narpati Maryati Tbk,1464.81,2192.907
INV-493206,POL-492869,Equity Fund,High,2025-07-02,7290659,CV Firgantoro Utama (Persero) Tbk,1328.04,5116.4663
INV-983645,POL-728788,Balanced Fund,Medium,2024-12-11,7102023,Perum Kusmawati Pertiwi Tbk,1439.74,4895.5094
INV-929956,POL-152148,Balanced Fund,Medium,2023-11-16,3268690,UD Rahmawati (Persero) Tbk,1415.99,2649.3813
INV-406332,POL-973430,Fixed Income Fund,Low-Medium,2025-02-08,2379612,Perum Budiman Mansur Tbk,1263.92,1891.0298
INV-993548,POL-494147,Equity Fund,High,2023-03-09,2538404,PT Winarsih,1277.11,2337.4604
INV-960570,POL-990358,Fixed Income Fund,Low-Medium,2024-07-19,1344161,Perum Prasetyo (Persero) Tbk,1010.25,1194.8907
INV-857245,POL-529050,Money Market Fund,Low,2025-01-23,2064437,CV Agustina (Persero) Tbk,1178.79,1517.737
INV-419429,POL-265705,Sharia Fund,Medium,2025-05-25,4302044,UD Usada Suartini,1459.32,4130.277
INV-206469,POL-797888,Fixed Income Fund,Low-Medium,2025-06-15,1939844,Perum Narpati Kuswandari (Persero) Tbk,1219.79,1381.3208
INV-953432,POL-850323,Sharia Fund,Medium,2025-07-08,4932055,PD Waskita,1174.0,3424.3765
INV-319152,POL-609911,Fixed Income Fund,Low-Medium,2025-05-02,3721453,PT Hastuti Tbk,1204.24,3467.9641
INV-182868,POL-893537,Fixed Income Fund,Low-Medium,2024-08-03,4897497,PD Riyanti (Persero) Tbk,1023.44,4664.1795
INV-417703,POL-160651,Money Market Fund,Low,2024-01-07,5811684,PD Hasanah Rahayu,1311.86,5429.5644
INV-506106,POL-453901,Balanced Fund,Medium,2023-10-16,4314412,Perum Maryati Sihotang,1401.39,3290.9986
INV-045058,POL-222977,Money Market Fund,Low,2025-05-03,1656598,PT Maryadi Najmudin (Persero) Tbk,1164.3,1195.9658
INV-656988,POL-195252,Fixed Income Fund,Low-Medium,2024-08-09,4352958,PT Winarsih,1296.2,3174.0745
INV-424169,POL-069331,Sharia Fund,Medium,2025-06-28,1309213,CV Uwais Hariyah,1386.44,980.5444
INV-302676,POL-853676,Fixed Income Fund,Low-Medium,2023-04-23,556862,Perum Winarno (Persero) Tbk,1453.94,496.2134
INV-341623,POL-141419,Money Market Fund,Low,2024-08-17,3136168,Perum Mardhiyah Dongoran,1307.7,2335.8045
INV-491953,POL-740877,Sharia Fund,Medium,2022-11-25,4773512,UD Wasita (Persero) Tbk,1428.07,3875.6342
INV-119280,POL-049187,Fixed Income Fund,Low-Medium,2024-11-20,1338981,UD Riyanti (Persero) Tbk,1030.59,1261.398
INV-568388,POL-482894,Fixed Income Fund,Low-Medium,2025-03-03,4205590,PT Fujiati Maryadi,1314.71,3308.7666
INV-433120,POL-225663,Equity Fund,High,2025-04-16,1174944,CV Laksita Suwarno (Persero) Tbk,1283.61,969.9588
INV-005139,POL-907005,Fixed Income Fund,Low-Medium,2024-06-26,3309060,PT Marbun Hutasoit,1147.99,2614.7006
INV-131020,POL-854649,Fixed Income Fund,Low-Medium,2024-11-13,896488,PT Hassanah (Persero) Tbk,1472.09,640.6719
INV-211151,POL-348134,Sharia Fund,Medium,2024-04-18,1055482,PT Kuswoyo Hidayanto (Persero) Tbk,1213.29,889.8663
INV-458119,POL-860515,Fixed Income Fund,Low-Medium,2023-04-09,3876945,CV Suryono Suryono,1077.44,2627.8537
INV-521682,POL-977186,Money Market Fund,Low,2023-10-02,1373407,Perum Kusmawati Budiyanto Tbk,1304.57,927.4284
INV-812326,POL-202911,Sharia Fund,Medium,2025-02-15,9102173,Perum Natsir Yuliarti,1343.94,6175.9902
INV-766309,POL-827437,Sharia Fund,Medium,2025-06-14,2356297,UD Saptono,1200.5,1970.9558
INV-236002,POL-544383,Money Market Fund,Low,2024-05-27,1238228,UD Permadi Sihotang,1221.93,1016.0389
INV-172944,POL-882262,Equity Fund,High,2024-02-18,872508,UD Waluyo Tbk,1306.93,775.5035
INV-948424,POL-528358,Equity Fund,High,2024-07-20,2404058,UD Putra Hidayanto,1384.45,1915.587
INV-028862,POL-341300,Money Market Fund,Low,2024-07-24,9518677,PT Lazuardi (Persero) Tbk,1013.21,7894.3605
INV-277657,POL-598354,Money Market Fund,Low,2023-09-05,1943782,CV Novitasari Tbk,1406.05,1409.1015
INV-189518,POL-902906,Sharia Fund,Medium,2025-07-08,5809150,Perum Anggraini,1066.53,4325.9522
INV-675618,POL-163693,Money Market Fund,Low,2025-04-15,2123480,PT Salahudin,1242.83,1465.5296
INV-869194,POL-336961,Sharia Fund,Medium,2025-06-21,5784713,PT Widodo Padmasari Tbk,1337.45,4809.2233
INV-259567,POL-391352,Money Market Fund,Low,2025-03-20,3325959,PT Gunarto Rahimah (Persero) Tbk,1171.33,2347.2913
INV-568832,POL-089211,Fixed Income Fund,Low-Medium,2025-06-04,7408582,Perum Andriani (Persero) Tbk,1347.37,6192.0796
INV-630604,POL-662971,Equity Fund,High,2025-06-03,2411465,PT Palastri Susanti (Persero) Tbk,1079.56,2018.5596
INV-356872,POL-071899,Equity Fund,High,2024-04-21,6098181,UD Iswahyudi,1037.75,4285.5089
INV-352100,POL-944150,Sharia Fund,Medium,2023-04-13,2866597,CV Ramadan Pertiwi,1432.39,2611.9887
INV-835610,POL-463349,Sharia Fund,Medium,2024-05-19,2449972,Perum Narpati,1006.94,1998.5811
INV-581184,POL-307615,Balanced Fund,Medium,2024-07-25,7140650,CV Usamah Novitasari,1026.62,4977.6418
INV-874912,POL-902356,Equity Fund,High,2025-01-16,252775,UD Putra Padmasari,1216.48,182.3556
INV-077483,POL-075748,Equity Fund,High,2025-06-16,9622145,CV Setiawan Kusumo Tbk,1261.02,9188.2855
INV-119435,POL-916359,Equity Fund,High,2025-02-20,3709464,PD Sihombing Budiman (Persero) Tbk,1054.68,3523.7941
INV-632514,POL-494206,Equity Fund,High,2025-03-30,1488429,Perum Sitompul,1480.92,1410.574
INV-294714,POL-279650,Balanced Fund,Medium,2023-10-16,5603932,Perum Hariyah Nurdiyanti,1207.07,4044.0989
INV-871648,POL-603757,Fixed Income Fund,Low-Medium,2024-03-30,1036041,Perum Hidayanto (Persero) Tbk,1035.64,716.1359
INV-597076,POL-459380,Equity Fund,High,2023-12-02,6408290,PD Maryadi (Persero) Tbk,1059.68,5092.8311
INV-716331,POL-609586,Sharia Fund,Medium,2025-06-13,4656006,PD Widodo,1210.12,4169.5212
INV-704883,POL-432780,Sharia Fund,Medium,2025-05-23,10936673,Perum Nababan Rajata Tbk,1174.0,8800.8862
INV-663271,POL-731507,Balanced Fund,Medium,2023-11-27,3935390,CV Suartini,1291.66,2643.8871
INV-024677,POL-235681,Equity Fund,High,2024-05-27,2646766,UD Sirait Wibowo Tbk,1151.96,2476.9562
INV-146791,POL-678363,Sharia Fund,Medium,2024-09-04,9874763,Perum Prasetyo Tbk,1077.76,7677.8775
INV-157515,POL-226100,Fixed Income Fund,Low-Medium,2024-09-26,3253211,PD Maulana (Persero) Tbk,1095.35,2546.5506
INV-591019,POL-942295,Money Market Fund,Low,2024-09-20,4646588,CV Saputra,1447.83,3636.4903
INV-762966,POL-419726,Balanced Fund,Medium,2024-03-14,2629523,PD Uyainah,1098.76,1883.4062
INV-445534,POL-376753,Money Market Fund,Low,2025-07-06,3397760,Perum Nuraini Tbk,1459.14,2683.1208
INV-491326,POL-708971,Sharia Fund,Medium,2025-07-05,4147900,CV Dabukke Waluyo Tbk,1347.5,3491.6749
INV-987578,POL-067054,Equity Fund,High,2022-10-08,1444953,Perum Mandasari,1150.65,1132.8217
INV-344643,POL-127418,Equity Fund,High,2024-11-13,5538830,PD Januar Santoso,1137.41,4930.9319
INV-532300,POL-288854,Money Market Fund,Low,2024-01-31,1810172,Perum Kuswoyo Sitompul (Persero) Tbk,1446.16,1237.3202
INV-013970,POL-945192,Balanced Fund,Medium,2025-06-11,4813565,CV Novitasari Rahimah Tbk,1246.37,3507.5855
INV-858916,POL-418830,Money Market Fund,Low,2025-02-17,893352,PT Gunawan,1054.67,809.8129
INV-205933,POL-383774,Balanced Fund,Medium,2025-04-25,843758,Perum Hidayanto Wasita (Persero) Tbk,1030.25,670.0076
INV-039209,POL-336680,Sharia Fund,Medium,2025-06-06,3125116,CV Suartini Tbk,1021.97,3062.1672
INV-625078,POL-991626,Balanced Fund,Medium,2025-03-31,4681945,UD Rahimah (Persero) Tbk,1160.95,3433.6336
INV-208547,POL-123569,Equity Fund,High,2024-01-11,4806879,Perum Marpaung (Persero) Tbk,1238.33,3676.5105
INV-574915,POL-273699,Equity Fund,High,2023-08-16,5620503,CV Winarsih Tbk,1406.53,3935.2434
INV-365470,POL-085941,Equity Fund,High,2025-05-17,4455080,PD Wibowo Nurdiyanti Tbk,1339.07,3281.2941
INV-241506,POL-831432,Sharia Fund,Medium,2023-01-19,3523879,PT Hastuti Sitompul Tbk,1493.25,3065.4918
INV-541270,POL-340522,Balanced Fund,Medium,2024-12-19,2217556,Perum Sihombing Puspita,1248.96,1841.3253
INV-517088,POL-827854,Balanced Fund,Medium,2024-02-17,2965645,Perum Oktaviani Wijayanti Tbk,1244.53,2883.4313
INV-334826,POL-478025,Balanced Fund,Medium,2024-10-23,7431545,PT Nurdiyanti,1191.46,6551.3491
INV-527112,POL-071812,Money Market Fund,Low,2024-12-09,4371169,Perum Sinaga Pratama,1097.79,4328.8518
INV-171126,POL-710041,Fixed Income Fund,Low-Medium,2025-05-13,4221324,PD Hasanah Tbk,1265.24,3745.6808
INV-497836,POL-785646,Money Market Fund,Low,2024-12-18,7079874,PT Natsir Tbk,1177.47,6071.2592
INV-071118,POL-002944,Sharia Fund,Medium,2025-06-10,7188170,UD Najmudin,1050.21,6802.3547
INV-928490,POL-797690,Sharia Fund,Medium,2025-02-20,4716003,CV Palastri Tbk,1182.97,3755.1115
INV-860497,POL-052174,Sharia Fund,Medium,2025-03-02,8778652,PT Palastri,1385.5,7463.6967
INV-757182,POL-365753,Sharia Fund,Medium,2025-05-11,1050195,Perum Wahyuni Tbk,1004.78,731.361
INV-387081,POL-942515,Money Market Fund,Low,2025-01-13,820155,Perum Waluyo Tbk,1261.66,736.864
INV-249300,POL-709174,Fixed Income Fund,Low-Medium,2023-08-12,1498286,UD Sihombing Halim,1313.47,1159.4771
INV-325361,POL-785625,Sharia Fund,Medium,2025-04-05,3896806,Perum Pangestu Tbk,1188.77,2918.4902
INV-126070,POL-136011,Sharia Fund,Medium,2025-01-31,5221503,Perum Laksita Tbk,1252.74,3806.1381
INV-298810,POL-940824,Equity Fund,High,2025-05-18,2616616,PT Rahmawati Laksmiwati,1485.18,2262.4547
INV-305256,POL-001842,Balanced Fund,Medium,2024-11-10,4353155,Perum Suryono,1065.92,3293.4342
INV-412504,POL-739226,Money Market Fund,Low,2024-01-15,3244947,CV Palastri (Persero) Tbk,1261.69,2710.891
INV-780408,POL-970314,Fixed Income Fund,Low-Medium,2025-04-24,4223322,PD Ardianto,1318.09,3045.9226
INV-678234,POL-521077,Fixed Income Fund,Low-Medium,2025-07-07,2203169,PD Mardhiyah (Persero) Tbk,1445.19,1788.3688
INV-510111,POL-140264,Fixed Income Fund,Low-Medium,2024-11-19,4325259,CV Prayoga Suryatmi,1499.75,4293.8221
INV-979120,POL-453212,Money Market Fund,Low,2024-09-16,2871308,Perum Rahayu,1360.11,1958.8022
INV-253439,POL-880523,Money Market Fund,Low,2025-04-25,861273,Perum Hutagalung (Persero) Tbk,1334.53,753.8733
INV-050843,POL-991441,Fixed Income Fund,Low-Medium,2025-06-17,3133827,Perum Prakasa Kusmawati Tbk,1482.45,2524.3817
INV-097974,POL-317970,Equity Fund,High,2024-06-04,1765425,PD Latupono Kuswandari (Persero) Tbk,1372.85,1576.5217
INV-411857,POL-714626,Money Market Fund,Low,2025-04-12,1503572,CV Waluyo Fujiati (Persero) Tbk,1110.65,1314.5512
INV-512562,POL-546332,Money Market Fund,Low,2024-11-02,4424697,PT Utama Hutapea,1346.11,3947.3523
INV-612237,POL-892793,Money Market Fund,Low,2024-06-26,1235564,PD Jailani,1128.59,1090.6174
INV-206805,POL-966012,Balanced Fund,Medium,2024-08-07,1709020,CV Suryatmi Tbk,1261.48,1280.3682
INV-337302,POL-573231,Money Market Fund,Low,2024-03-21,9365100,Perum Saefullah,1454.1,9250.7684
INV-131855,POL-845866,Sharia Fund,Medium,2025-01-19,3849702,Perum Melani,1003.88,3651.4668
INV-581073,POL-693980,Sharia Fund,Medium,2024-07-13,2915055,PT Pratiwi,1375.77,1966.1878
